,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
0,1,296,30,254,92,162,1,Донецька область
1,2,319,14,303,132,171,2,Донецька область
2,3,366,9,321,187,134,3,Донецька область
3,4,920,26,888,305,583,4,Донецька область
4,5,316,15,260,97,163,5,Донецька область
5,6,556,8,467,305,162,6,Донецька область
6,140566,2095,34,950,776,174,140566,Донецька область
7,140567,611,2,134,70,64,140567,Донецька область
8,140568,1014,16,769,447,322,140568,Донецька область
9,140569,1463,33,679,518,161,140569,Донецька область
10,140570,1574,30,727,628,99,140570,Донецька область
11,140572,622,7,287,227,60,140572,Донецька область
12,140573,491,1,214,176,38,140573,Донецька область
13,140574,726,22,438,359,79,140574,Донецька область
14,140575,1309,31,624,429,195,140575,Донецька область
15,140576,419,2,302,203,99,140576,Донецька область
16,140577,1723,48,908,666,242,140577,Донецька область
17,140578,782,6,572,337,235,140578,Донецька область
18,140579,1845,7,497,235,262,140579,Донецька область
19,140580,554,9,312,238,74,140580,Донецька область
20,140582,693,3,478,295,183,140582,Донецька область
21,140585,564,1,247,153,94,140585,Донецька область
22,140587,969,21,372,348,24,140587,Донецька область
23,140588,1394,17,492,443,49,140588,Донецька область
24,140589,912,16,352,318,34,140589,Донецька область
25,140590,956,19,365,343,22,140590,Донецька область
26,140591,1199,21,493,438,55,140591,Донецька область
27,140592,1005,15,385,350,35,140592,Донецька область
28,140593,1209,18,446,411,35,140593,Донецька область
29,140594,1897,44,800,730,70,140594,Донецька область
30,140595,2147,13,825,761,64,140595,Донецька область
31,140596,1822,40,783,712,71,140596,Донецька область
32,140597,1093,20,479,439,40,140597,Донецька область
33,140598,1954,30,762,681,81,140598,Донецька область
34,140599,2044,31,857,793,64,140599,Донецька область
35,140600,1852,28,761,704,57,140600,Донецька область
36,140601,1949,33,832,762,70,140601,Донецька область
37,140602,1985,37,872,787,85,140602,Донецька область
38,1,602,52,550,537,13,1,Донецька область
39,2,256,8,222,167,55,2,Донецька область
40,3,227,6,182,125,57,3,Донецька область
41,4,210,2,202,139,63,4,Донецька область
42,5,332,37,292,107,185,5,Донецька область
43,6,714,26,676,423,253,6,Донецька область
44,7,864,247,464,263,201,7,Донецька область
45,8,484,20,457,206,251,8,Донецька область
46,9,261,24,214,124,90,9,Донецька область
47,10,638,36,560,300,260,10,Донецька область
48,11,870,12,807,328,479,11,Донецька область
49,12,180,13,165,79,86,12,Донецька область
50,13,574,20,530,339,191,13,Донецька область
51,140041,989,9,455,419,36,140041,Донецька область
52,140042,1458,7,703,653,50,140042,Донецька область
53,140043,1487,16,764,718,46,140043,Донецька область
54,140044,1393,9,676,629,47,140044,Донецька область
55,140045,1502,12,756,703,53,140045,Донецька область
56,140046,839,6,387,367,20,140046,Донецька область
57,140047,738,9,368,300,68,140047,Донецька область
58,140048,873,6,421,348,73,140048,Донецька область
59,140049,242,2,121,105,16,140049,Донецька область
60,140050,243,2,131,101,30,140050,Донецька область
61,140051,836,8,432,404,28,140051,Донецька область
62,140052,597,3,337,314,23,140052,Донецька область
63,140053,439,4,185,174,11,140053,Донецька область
64,140054,253,4,153,140,13,140054,Донецька область
65,140055,588,9,399,262,137,140055,Донецька область
66,140056,806,7,387,362,25,140056,Донецька область
67,140057,326,13,178,154,24,140057,Донецька область
68,140058,1005,14,594,487,107,140058,Донецька область
69,140059,916,14,660,451,209,140059,Донецька область
70,140060,569,4,368,342,26,140060,Донецька область
71,140061,565,8,346,296,50,140061,Донецька область
72,140062,503,5,306,289,17,140062,Донецька область
73,140063,146,0,100,65,35,140063,Донецька область
74,140064,396,3,215,179,36,140064,Донецька область
75,140066,583,6,307,279,28,140066,Донецька область
76,140067,370,1,138,131,7,140067,Донецька область
77,140068,1225,15,718,672,46,140068,Донецька область
78,140069,420,5,229,194,35,140069,Донецька область
79,140070,730,6,365,354,11,140070,Донецька область
80,140071,451,5,232,215,17,140071,Донецька область
